,I-Count,Label(m0/f1)
1045,0,1
1046,1,0
1047,2,0
1048,6,0
1049,3,0
1050,0,0
1051,0,1
1052,3,0
1053,1,1
1054,0,0
1055,0,0
1056,0,1
1057,8,1
1058,0,0
1059,2,0
1060,4,0
1061,1,1
1062,3,0
1063,4,1
1064,7,0
1065,1,0
1066,1,0
1067,0,0
1068,3,0
1069,9,0
1070,7,0
1071,0,0
1072,36,1
1073,0,0
1074,1,1
1075,2,0
1076,6,0
1077,15,1
1078,3,0
1079,1,1
1080,3,0
1081,26,1
1082,0,0
1083,0,0
1084,1,0
1085,1,0
1086,0,0
1087,3,1
1088,1,0
1089,1,1
1090,33,0
1091,8,0
1092,18,0
1093,6,0
1094,2,0
1095,2,0
1096,0,0
1097,0,0
1098,3,0
1099,4,0
1100,4,0
1101,0,1
1102,8,0
1103,1,0
1104,9,1
1105,15,0
1106,0,0
1107,0,0
1108,0,1
1109,0,0
1110,1,0
1111,6,0
1112,2,0
1113,0,1
1114,8,0
1115,2,0
1116,11,0
1117,3,0
1118,1,1
1119,2,0
1120,44,1
1121,1,0
1122,13,1
1123,0,1
1124,1,0
1125,1,1
1126,0,1
1127,3,0
1128,15,1
1129,1,0
1130,2,0
1131,18,1
1132,3,0
1133,8,1
1134,3,0
1135,3,0
1136,0,0
1137,4,0
1138,11,1
1139,1,0
1140,2,0
1141,0,1
1142,1,0
1143,1,0
1144,16,1
1145,0,0
1146,11,1
1147,1,0
1148,0,0
1149,3,1
1150,4,0
1151,1,0
1152,0,1
1153,8,0
1154,5,1
1155,2,0
1156,2,1
1157,29,0
1158,9,1
1159,22,0
1160,20,1
1161,25,1
1162,1,0
1163,1,0
1164,1,0
1165,6,0
1166,4,0
1167,38,1
1168,4,0
1169,1,1
1170,2,0
1171,12,0
1172,5,0
1173,3,0
1174,0,1
1175,0,1
1176,0,1
1177,3,1
1178,4,0
1179,1,0
1180,0,0
1181,2,0
1182,1,0
1183,12,0
1184,1,0
1185,4,0
1186,5,0
1187,0,0
1188,1,0
1189,5,1
1190,3,0
1191,3,0
1192,8,1
1193,0,0
1194,0,0
1195,2,0
1196,3,0
1197,1,0
1198,0,0
1199,0,0
1200,0,0
1201,0,0
1202,4,0
1203,3,1
1204,9,0
1205,0,0
1206,1,1
1207,1,1
1208,0,0
1209,0,0
1210,0,0
1211,9,0
1212,54,0
1213,4,0
1214,54,1
1215,0,1
1216,1,1
1217,3,0
1218,22,1
1219,4,0
1220,10,0
1221,5,0
1222,0,0
1223,2,1
1224,1,0
1225,0,1
1226,0,0
1227,3,0
1228,5,0
1229,0,0
1230,1,0
1231,3,0
1232,2,0
1233,0,1
1234,4,0
1235,1,0
1236,5,1
1237,1,0
1238,1,0
1239,0,0
1240,0,1
1241,8,1
1242,2,0
1243,2,0
1244,1,0
1245,4,0
1246,0,0
1247,0,0
1248,0,1
1249,1,0
1250,5,0
1251,57,1
1252,2,0
1253,17,1
1254,1,0
1255,0,0
1256,14,0
1257,44,1
1258,0,1
1259,7,0
1260,8,1
1261,10,1
1262,0,0
1263,0,0
1264,6,0
1265,0,0
1266,65,0
1267,0,0
1268,6,0
1269,0,0
1270,1,0
1271,4,0
1272,4,0
1273,23,1
1274,1,0
1275,6,0
1276,7,0
1277,0,0
1278,5,0
1279,2,1
1280,5,0
1281,6,0
1282,2,0
1283,2,0
1284,2,0
1285,0,1
1286,0,0
1287,18,1
1288,7,1
1289,2,0
1290,2,0
1291,6,0
1292,5,0
1293,3,1
1294,4,0
1295,5,0
1296,1,1
1297,0,1
1298,3,1
1299,1,0
1300,2,0
1301,0,0
1302,4,0
1303,6,0
1304,7,1
1305,0,0
1306,84,1
1307,49,0
1308,4,0
1309,0,1
1310,1,0
1311,7,0
1312,0,0
1313,3,0
1314,3,0
1315,5,0
1316,0,0
1317,3,0
1318,1,0
1319,7,0
1320,0,0
1321,0,1
1322,0,1
1323,0,0
1324,2,0
1325,1,0
1326,0,0
1327,4,1
1328,0,1
1329,7,0
1330,0,1
1331,1,1
1332,1,1
1333,9,1
1334,14,0
1335,3,0
1336,0,0
1337,0,0
1338,2,1
1339,3,0
1340,3,0
1341,2,1
1342,0,0
1343,2,0
1344,1,0
1345,1,0
1346,1,0
1347,4,0
1348,1,1
1349,0,1
1350,0,1
1351,0,1
1352,6,0
1353,1,0
1354,1,1
1355,1,0
1356,2,0
1357,3,0
1358,4,1
1359,30,1
1360,1,0
1361,34,0
1362,5,0
1363,0,0
1364,1,1
1365,0,0
1366,0,1
1367,0,0
1368,1,0
1369,6,0
1370,89,1
1371,4,0
1372,0,1
1373,84,1
1374,3,0
1375,15,1
1376,0,0
1377,6,0
1378,2,0
1379,2,0
1380,0,1
1381,2,0
1382,3,0
1383,0,1
1384,15,0
1385,1,0
1386,3,0
1387,9,1
1388,0,1
1389,3,1
1390,3,0
1391,3,0
1392,3,0
1393,5,1
1394,0,1
1395,6,1
1396,2,0
1397,17,0
1398,2,0
1399,0,0
1400,35,0
1401,2,0
1402,6,0
1403,1,0
1404,11,1
1405,68,0
1406,1,0
1407,2,0
1408,1,1
1409,21,1
1410,7,0
1411,12,0
1412,0,0
1413,52,1
1414,15,0
1415,1,0
1416,6,1
1417,12,1
1418,25,0
1419,10,0
1420,6,0
1421,8,0
1422,0,1
1423,43,1
1424,3,0
1425,0,1
1426,1,0
1427,5,0
1428,0,0
1429,2,0
1430,5,1
1431,0,0
1432,0,0
1433,0,0
1434,1,0
1435,2,1
1436,0,0
1437,0,0
1438,6,0
1439,1,1
1440,0,0
1441,13,0
1442,20,0
1443,1,0
1444,2,1
1445,6,0
1446,2,1
1447,2,0
1448,14,0
1449,2,0
1450,39,0
1451,3,0
1452,1,0
1453,5,1
1454,2,0
1455,3,0
1456,1,0
1457,0,0
1458,0,0
1459,4,0
1460,1,1
1461,6,0
1462,0,0
1463,0,0
1464,0,1
1465,3,1
1466,2,1
1467,0,0
1468,0,0
1469,7,1
1470,0,0
1471,4,1
1472,6,0
1473,4,0
1474,2,1
1475,3,0
1476,0,0
1477,0,0
1478,4,1
1479,2,0
1480,0,1
1481,0,1
1482,1,0
1483,1,1
1484,2,0
1485,10,0
1486,0,0
1487,2,0
