Column1,I-Count,Label(m0/f1),SortKey
2426,4,1,0.100343253
261,0,0,0.10053069
1778,3,0,0.100746626
4226,3,0,0.101014598
4806,0,1,0.101044767
2727,1,1,0.101454731
3648,4,0,0.101873567
5288,0,0,0.102016769
2758,3,0,0.102440867
3261,13,1,0.102800366
175,5,0,0.102846288
3938,7,0,0.102942357
2858,1,0,0.103093917
3021,14,0,0.103284434
4227,5,1,0.103360097
4904,3,1,0.103495059
2943,10,0,0.103533467
46,2,0,0.103702321
145,9,0,0.103749141
3864,11,0,0.104508362
3374,2,0,0.104549985
2053,11,0,0.104839843
297,3,0,0.105020951
2105,28,1,0.10509357
1687,1,0,0.10546242
2037,4,1,0.105966111
39,8,0,0.106153078
3193,6,1,0.10625999
2304,0,0,0.106349757
4800,0,0,0.106515338
1307,49,0,0.106581344
2143,5,0,0.106586343
4475,9,0,0.10662914
2805,15,0,0.107050679
3838,2,0,0.107192253
1873,2,0,0.107451147
1395,6,1,0.10749058
2635,0,0,0.107616534
3635,2,1,0.108215651
83,1,0,0.108398405
2720,0,0,0.108588028
124,1,0,0.108921063
3054,1,0,0.108949207
2323,19,0,0.109061905
496,4,1,0.109254976
1305,0,0,0.109368109
5327,0,0,0.109504012
1737,0,1,0.109611002
2074,2,0,0.109839986
3425,1,0,0.110296855
2103,2,0,0.110468594
5323,6,0,0.110829913
3106,2,0,0.110927461
743,0,0,0.11107817
4549,1,0,0.11112956
9,1,0,0.111137118
5325,6,1,0.11115211
5041,3,0,0.111186017
4204,1,0,0.111448846
5416,14,1,0.11160435
4696,3,1,0.111729554
2637,8,0,0.111816067
3929,4,1,0.111861657
42,24,1,0.111900322
1975,0,0,0.111901896
315,1,0,0.111990505
712,2,0,0.11229623
1457,0,0,0.112380835
3380,16,0,0.112945461
219,3,0,0.113217986
3018,0,0,0.113591911
1746,0,0,0.113970855
2987,7,1,0.114046849
4864,4,1,0.114067929
3542,18,0,0.114258936
5374,0,0,0.114339887
1069,9,0,0.114368288
3575,0,0,0.114639908
2349,0,0,0.114668959
